type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 4.1881117820739746, ""confidence"": 0.98530000448226907 }",947,3,0.9059,211.48944900069193,64.95137625918335,441952.02972987335,4463048.7094722735,229.85610762805646,67.17035029846924,0.8873000000000001,3,1
Feature,"{ ""height"": 5.037017822265625, ""confidence"": 0.98919999599456709 }",951,3,0.9104,197.3710153552502,60.08084772594109,440892.8250684069,4463511.883878739,179.907793581308,56.76813562489981,0.88996,3,2
Feature,"{ ""height"": 5.2518539428710938, ""confidence"": 0.83020001649856512 }",963,3,0.9148,335.9027781199941,78.88125500474831,441628.77968671307,4463490.294272639,334.25159928874,85.47515018358771,0.81882,3,0
Feature,"{ ""height"": 3.9365880489349361, ""confidence"": 0.99269998073577803 }",978,3,0.8935,184.9966765615351,57.10425348147367,440966.53823460377,4463753.102665647,184.60119971543807,58.668439884361064,0.75884,3,2
Feature,"{ ""height"": 4.9098062515258789, ""confidence"": 0.98869997262954712 }",981,3,0.2406,269.59739926652776,70.92903491875906,440747.47668756964,4463077.066019813,185.06580480742804,57.550563703094895,0.90244,3,1
Feature,"{ ""height"": 5.2159357070922852, ""confidence"": 0.99949997663497903 }",1044,2,0.8657,857.6011722009439,121.8120070837988,440020.326685678,4463968.75160835,205.0396130815164,60.195769258814416,0.76556,3,3
Feature,"{ ""height"": 5.1228103637695312, ""confidence"": 0.96969997882843006 }",1065,3,0.9094,274.6391643637357,70.58011672700576,442644.6094468782,4462742.673811214,206.37300931561066,62.48451013043808,0.8586,3,4
Feature,"{ ""height"": 2.1396932601928711, ""confidence"": 1.0 }",1078,3,0.8225,30.40313212738231,22.290435108146376,441309.1571251331,4462738.213667115,147.3425750391636,53.373311924111945,0.7840399999999998,3,1
Feature,"{ ""height"": 6.1228432655334473, ""confidence"": 0.96920001506805409 }",1115,3,0.8616,623.489135259343,136.55606164730222,441725.3846007873,4463735.7542470945,339.85684482915923,83.6702099785702,0.8793199999999999,3,3
Feature,"{ ""height"": 5.3156218528747559, ""confidence"": 0.86769998073577803 }",1149,3,0.8953,211.37131514310312,62.289340330905006,440691.80725257384,4462951.294845792,169.20024367809629,53.63981564186872,0.75732,3,1
Feature,"{ ""height"": 4.4845991134643555, ""confidence"": 0.99370002746582009 }",1173,3,0.9183,395.98429674976217,93.25569092651654,440328.92715630383,4463788.577836489,193.02294623503465,58.98705599042247,0.7523200000000001,3,0
Feature,"{ ""height"": 7.2822742462158203, ""confidence"": 0.98320001363754206 }",1176,3,0.9223,363.0723205884404,82.303856003448,443075.3219937422,4463327.095890784,232.17862148573204,65.61670681764147,0.88756,3,4
Feature,"{ ""height"": 4.3587832450866699, ""confidence"": 0.99510002136230413 }",1211,3,0.925,180.20116744011227,57.26408585046539,442866.5425972093,4463452.501573797,256.2433346624011,68.16747671937563,0.8939200000000002,3,4
Feature,"{ ""height"": 4.6100940704345703, ""confidence"": 0.98589998483657804 }",1251,3,0.9123,197.82971125139863,63.34212986006859,441901.47211244755,4463047.935228262,232.58805517791515,67.4921995782922,0.8860199999999999,3,1
Feature,"{ ""height"": 4.5889396667480469, ""confidence"": 0.99940001964569003 }",1270,3,0.8377,181.61478283604717,56.86723685067298,440481.98957001796,4463255.387266307,191.95464795451343,58.87838787828914,0.6951600000000001,3,1
Feature,"{ ""height"": 4.5460362434387207, ""confidence"": 0.98989999294281006 }",1274,3,0.8676,266.28959561593547,73.9000657361978,441776.2054804018,4462888.288595318,216.43112225843782,64.42691944492285,0.90288,3,1
Feature,"{ ""height"": 5.5134835243225098, ""confidence"": 0.99849998950958208 }",1283,3,0.8686,140.09439611608545,48.19283201054568,440264.85608214693,4463404.909803221,422.3848789110846,77.25152190882638,0.58658,3,2
Feature,"{ ""height"": 5.3899798393249512, ""confidence"": 0.99860000610351507 }",1290,3,0.9287,228.956603708585,65.87948125470524,441820.3547641931,4462672.48580086,211.64958489288202,62.73275482237095,0.8489000000000001,3,1
Feature,"{ ""height"": 4.5173664093017578, ""confidence"": 0.99550002813339211 }",1303,3,0.9113,227.9189515123517,68.68273929051482,441860.9445712967,4462841.335589521,224.10525107915458,65.47038473405945,0.8941399999999999,3,1
Feature,"{ ""height"": 3.9707262516021733, ""confidence"": 0.96820002794265703 }",1376,3,0.7581,187.35127825387437,62.89956420720682,441172.3619626581,4462944.294801956,180.35303572209827,56.59177724600528,0.8649799999999999,3,1
Feature,"{ ""height"": 5.5921010971069345, ""confidence"": 0.98570001125335605 }",1384,3,0.8933,155.7898388816069,50.937909832961445,443180.27660182514,4463343.803360495,273.6351178270987,71.88989605173877,0.89336,3,4
