type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 0.10253164917230601, ""confidence"": 0.96410000324249212 }",915,3,0.9263,2.0,244.97508506851125,66.06536343386746,436691.317035457,4461414.012967478,205.35320067878047,59.40145318256491,0.8258599999999999,3,3
Feature,"{ ""height"": 6.1446170806884775, ""confidence"": 0.99989998340606612 }",936,0,0.7733,3.0,630.4366960499362,122.07985939301837,438175.0124826151,4460465.356618317,1174.7903795214884,170.70477224103166,0.67846,2,2
Feature,"{ ""height"": 2.8122038841247559, ""confidence"": 0.98309999704360906 }",947,2,0.2323,3.0,710.0910118502486,198.53388391151617,437929.08117780334,4460338.269525207,776.6802129755768,128.08026790101238,0.7913400000000002,2,2
Feature,"{ ""height"": 0.79428446292877208, ""confidence"": 0.9532999992370601 }",951,3,0.6824,2.0,237.34018369891257,64.26324891038523,436697.8126066335,4461286.407914189,202.1887359316123,59.40938074157077,0.85566,3,3
Feature,"{ ""height"": 6.034238338470459, ""confidence"": 0.99489998817443803 }",963,2,0.909,3.0,862.4290479979361,117.57573377186073,437960.9441803801,4460314.569706704,746.2126057460393,144.27189792894345,0.656,2,2
Feature,"{ ""height"": 0.046869408339262002, ""confidence"": 0.98540002107620206 }",978,3,0.9098,3.0,289.6841966831199,69.5896760076469,436193.5255992461,4462027.969425575,196.1618013780942,57.423774493238014,0.91428,3,1
Feature,"{ ""height"": 0.16523709893226601, ""confidence"": 0.99059998989105202 }",981,0,0.9459,3.0,319.8155404798127,74.12247108956318,437461.5815738498,4461505.3208682425,208.3359159254549,55.03015768384032,0.68764,3,3
Feature,"{ ""height"": 2.3511590957641602, ""confidence"": 0.99659997224807706 }",1044,3,0.888,3.0,167.4765147598923,55.70563593371725,437033.68593970826,4461095.188376075,174.76857635023802,55.32280234684954,0.90884,3,3
Feature,"{ ""height"": 6.3625903129577637, ""confidence"": 0.98540002107620206 }",1065,3,0.5965,2.0,629.5930734981864,115.699430847147,435241.3264785084,4462158.981925994,448.33342405419,89.70625830962423,0.7603,0,1
Feature,"{ ""height"": 5.3821849822998047, ""confidence"": 0.95730000734329213 }",1078,3,0.9056,3.0,135.8416768232909,47.92217609127158,436019.7876815723,4461071.047116975,204.29000886170965,61.22445850943827,0.91598,3,4
Feature,"{ ""height"": 0.27296501398086503, ""confidence"": 0.92820000648498502 }",1115,3,0.9224,3.0,158.36027559588965,51.63584321359659,436952.66954894265,4461376.394211527,171.5923544730129,54.48490785287645,0.8732800000000001,3,3
Feature,"{ ""height"": 0.334103673696517, ""confidence"": 0.98879998922348011 }",1149,3,0.9119,3.0,157.1340178319249,50.1574916691885,436041.02329604333,4461938.196624002,185.1870661888889,55.980389404947914,0.9068000000000002,3,1
