epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,15544.2,1.71847,1.45958,2.04399,0.65416,0.45616,0.43813,0.24521,1.57299,1.3677,2.04586,0.000399738,0.000399738,0.000399738
99,15592.2,1.68428,1.39923,2.01049,0.70659,0.45621,0.44568,0.24276,1.58721,1.33325,2.05694,0.000392405,0.000392405,0.000392405
100,15869.4,1.69198,1.36758,2.02431,0.71714,0.40986,0.42879,0.24116,1.59795,1.27958,2.07263,0.000385073,0.000385073,0.000385073
101,15921,1.64447,1.35662,1.95831,0.69675,0.41506,0.41719,0.2349,1.58974,1.28613,2.06578,0.00037774,0.00037774,0.00037774
102,15972.6,1.68699,1.44257,2.05312,0.66494,0.44679,0.43105,0.24884,1.5593,1.28591,2.03937,0.000370407,0.000370407,0.000370407
103,16021.7,1.66183,1.36325,1.98994,0.70988,0.4602,0.48379,0.2867,1.50433,1.23935,2.00101,0.000363075,0.000363075,0.000363075
104,16146.5,1.63098,1.4133,2.01235,0.75387,0.48887,0.49284,0.28578,1.53043,1.25789,2.00728,0.000355742,0.000355742,0.000355742
105,16196.1,1.67966,1.42534,2.01288,0.71558,0.48297,0.48182,0.2776,1.52915,1.25774,2.0108,0.00034841,0.00034841,0.00034841
106,16246.3,1.63311,1.33844,1.93225,0.7977,0.44125,0.48597,0.28099,1.50276,1.22848,2.00897,0.000341077,0.000341077,0.000341077
107,16338.8,1.62122,1.38693,1.959,0.76126,0.45055,0.48396,0.27346,1.50931,1.21568,2.00337,0.000333744,0.000333744,0.000333744
108,16388.8,1.6118,1.30819,1.90084,0.67707,0.46222,0.46475,0.2658,1.51306,1.20254,1.98923,0.000326412,0.000326412,0.000326412
109,16438.8,1.66588,1.35531,1.94676,0.63668,0.46925,0.46137,0.26393,1.52752,1.19916,1.9908,0.000319079,0.000319079,0.000319079
110,17100.6,1.64701,1.37911,2.00702,0.67105,0.51252,0.49435,0.28882,1.51748,1.19238,1.98633,0.000311747,0.000311747,0.000311747
111,17149.9,1.67951,1.39015,1.97927,0.88747,0.42767,0.51162,0.29036,1.49517,1.17257,1.98378,0.000304414,0.000304414,0.000304414
112,17199.5,1.61551,1.32782,1.93436,0.8619,0.4081,0.50086,0.29284,1.48793,1.18349,1.98107,0.000297081,0.000297081,0.000297081
113,17847.7,1.60062,1.33163,1.97555,0.75353,0.40403,0.45864,0.26383,1.47961,1.19252,1.97343,0.000289749,0.000289749,0.000289749
114,17897.8,1.61698,1.36435,1.93748,0.71724,0.49233,0.50677,0.30943,1.46574,1.18605,1.95096,0.000282416,0.000282416,0.000282416
115,18123.8,1.61348,1.38822,1.97128,0.7479,0.47669,0.52084,0.31602,1.47329,1.1532,1.95484,0.000275084,0.000275084,0.000275084
116,18218.4,1.61169,1.34053,1.98293,0.76483,0.48776,0.51912,0.31322,1.49119,1.15277,1.97646,0.000267751,0.000267751,0.000267751
117,18267.1,1.60435,1.32116,1.95585,0.76727,0.5074,0.52745,0.31615,1.52925,1.15992,1.99457,0.000260418,0.000260418,0.000260418
118,18316.7,1.69125,1.33207,1.97407,0.80956,0.46761,0.52979,0.31409,1.52592,1.16219,2.00276,0.000253086,0.000253086,0.000253086
119,18910.7,1.56918,1.31642,1.94195,0.79073,0.50792,0.56465,0.32985,1.46634,1.15217,1.97632,0.000245753,0.000245753,0.000245753
120,18973.4,1.6293,1.31757,1.93516,0.77594,0.47976,0.55294,0.32888,1.4558,1.14901,1.96159,0.000238421,0.000238421,0.000238421
